title,author,rating,ratingnum,preptime,cooktime,totaltime,servings,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,source,link,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26
Strawberry Lemonade Cookies,Heather Perine,5, 7 ,45 minutes,10 minutes,55 minutes,24 cookies,18,For The Cookies:,▢ 3 cups (360 g) all-purpose flour spooned and leveled,▢ 1 teaspoon baking powder,▢ ½ teaspoon baking soda,▢ ½ teaspoon salt,"▢ 1 cup (2 sticks, 226 g) unsalted butter softened",▢ 1 ¼ cups (250 g) granulated white sugar,▢ 1 large egg room temperature,▢ 1 teaspoon vanilla extract,▢ 2 tablespoons lemon juice,▢ 1 tablespoon lemon zest,Boston Girl Bakes,https://www.bostongirlbakes.com/strawberry-lemonade-cookies/,For frosting:,"▢ 1 1/4 cups (2 1/2 sticks, 283 g) unsalted butter softened",▢ 2 1/2 cups (283 g) confectioners sugar,▢ 1 ounce freeze dried strawberries pulsed into fine powder,▢ 2 tablespoons heavy cream,▢ 2 teaspoons vanilla extract,▢ Pinch salt,NA,NA,NA,NA,NA,NA,NA,NA
Strawberry Cheesecake Cookies,Heather Perine,5, 6 ,30 minutes,15 minutes,45 minutes,18 cookies,18,For cheesecake filling,▢ 4 ounces (1/2 block) full fat cream cheese softened to room temperature,▢ ¼ cup (28 g) powdered sugar,▢ ½ teaspoon vanilla extract,For the cookies,▢ 3 cup (360 g) all purpose flour *spooned and leveled,▢ 1 teaspoon baking soda,▢ 1 teaspoon salt,"▢ 1 cup (2 sticks, 226 g) unsalted butter, room temperature",▢ 1 cup (213 g) packed light brown sugar,▢ ¼ cup (50 g) granulated sugar,Boston Girl Bakes,https://www.bostongirlbakes.com/strawberry-cheesecake-cookies/,▢ 1 large egg room temperature,▢ 1 large egg yolk room temperature,▢ 2 teaspoons vanilla extract,▢ ½ cup (85 g) white chocolate chips,▢ ½ teaspoon strawberry extract,▢ 1 ounce (about 3/4 cup) freeze dried strawberries broken down into small pieces,▢ pink food coloring optional,NA,NA,NA,NA,NA,NA,NA,NA
Almond Crescent Cookies,Heather Perine,5, 4 ,10 minutes,15 minutes,25 minutes,24 cookies,7,"▢ 1 cup (2 sticks, 226 g) unsalted butter softened",▢ ⅔ cup (134 g) granulated sugar,▢ 2 teaspoons vanilla extract,▢ 2 ½ cups (300 g) all purpose flour spooned and leveled,▢ ¼ teaspoon salt,▢ 1 cup (86 g) finely chopped almonds,▢ ½ cup (60 g) powdered sugar for rolling in or dusting after baking,NA,NA,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/almond-crescent-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butterscotch Cookies,Heather Perine,5, 4 ,15 minutes,10 minutes,25 minutes,16 cookies,7,"▢ ½ cup (1 stick, 113 g) salted butter see note",▢ 1 cup (213 g) packed dark brown sugar see note,▢ 1 large egg room temperature,▢ 1 teaspoon vanilla extract,▢ 2 cups (240 g) all purpose flour *spooned and leveled,▢ 1 teaspoon baking soda,▢ ¾ cup (130 g) butterscotch chips,NA,NA,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/butterscotch-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apple Cider Cookies,Heather Perine,4.91, 41 ,15 minutes,12 minutes,27 minutes,28 cookies,17,For the cookies:,▢ 3 cups (360 grams) all-purpose flour,▢ 1 teaspoon baking powder,▢ ¼ teaspoon baking soda,▢ 1 ½ teaspoons cinnamon,▢ ½ teaspoon nutmeg,▢ ½ teaspoon table salt,"▢ 1 cup (2 sticks, 226 grams) unsalted butter softened",▢ ½ cup (99 grams) granulated white sugar,▢ ¾ cup (160 grams) light brown sugar,▢ 1 large egg room temperature,Boston Girl Bakes,https://www.bostongirlbakes.com/apple-cider-cookies/,▢ ¼ cup (60 mL) apple cider,▢ 1 apple peeled and diced,For the icing:,▢ 2 cup confectioners sugar,▢ 3 tablespoons apple cider,▢ ½ teaspoon cinnamon,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biscoff Cookies,Heather Perine,5, 1 ,15 minutes,10 minutes,25 minutes,36 cookies,14,▢ 2 ½ cups (300 g) all-purpose flour spooned and leveled,▢ 1 teaspoon baking soda,▢ 1 teaspoon baking powder,▢ 1 teaspoon fine sea salt,▢ 1 teaspoon ground cinnamon,▢ ¼ teaspoon ground nutmeg,"▢ ½ cup (1 stick, 113 g) unsalted butter softened",▢ ¾ cup (202 g) biscoff cookie butter cookie spread,▢ ½ cup (100 g) granulated sugar,▢ 1 cup (213 g) packed light brown sugar,▢ 2 large eggs at room temperature,Boston Girl Bakes,https://www.bostongirlbakes.com/biscoff-cookie-recipe/,▢ 1 large egg yolk room temperature,▢ 2 teaspoons vanilla extract,▢ 2 cups (340 g) white chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reese’s Peanut Butter Cup Cookies,Heather Perine,5, 2 ,15 minutes,8 minutes,43 minutes,50 cookies,13,▢ 1 ¾ cups (210 g) all purpose flour spooned and leveled,▢ 1 teaspoon baking soda,▢ ½ teaspoon baking powder,▢ ½ teaspoon salt,▢ 1 Tablespoon Cornstarch,"▢ 1 cup (2 sticks, 226 g) unsalted butter softened to room temperature",▢ 1 cup (213 g) packed light brown sugar,▢ 1 cup (200 g) granulated sugar,▢ 1 large egg room temperature,▢ 1 ½ teaspoons vanilla extract,▢ 1 cup (270 g) smooth peanut butter creamy,Boston Girl Bakes,https://www.bostongirlbakes.com/reeses-peanut-butter-cup-cookies/,▢ 1 cup mini Reese’s Peanut Butter Cups chopped in half,▢ ½ cup (85 g) semi-sweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mermaid Funfetti Cookies,Heather Perine,5, 2 ,15 minutes,10 minutes,25 minutes,30 cookies,12,▢ 2 1/2 cups (300 g) all purpose flour spooned and leveled,▢ 2 teaspoons baking powder,▢ 1 teaspoon salt,▢ 1 Tablespoon cornstarch,"▢ 1 cup (2 sticks, 226 g) unsalted butter softened to room temperature",▢ ¾ cup (150 g) granulated sugar,▢ ½ cup (107 g) packed light brown sugar,▢ 1 large egg room temperature,▢ 1 large egg yolk room temperature,▢ ½ teaspoon vanilla extract,▢ 1 cup mermaid themed baking chips,Boston Girl Bakes,https://www.bostongirlbakes.com/mermaid-funfetti-cookies/,▢ ½ cup sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Macarons,Heather Perine,5, 2 ,10 minutes,NA,10 minutes,30 macarons,21,Macaron Shells,▢ 105 grams egg whites,▢ ¼ teaspoon cream of tartar,▢ 105 grams granulated sugar,▢ 140 grams almond flour,▢ 125 grams powdered sugar,▢ Food coloring – either gel or powder,Lemon buttercream,"▢ ½ cup (1 stick, 113 g) unsalted butter room temperature",▢ 1 tablespoon fresh lemon juice,▢ 1 tablespoon grated lemon zest,Boston Girl Bakes,https://www.bostongirlbakes.com/lemon-macarons/,▢ 1 ½ – 2 cups (113-170g)powdered sugar,▢ 1-2 tablespoons heavy cream,▢ ¼ teaspoon Kosher salt or a pinch of table salt,Lemon Curd,▢ 3 large egg yolks,▢ 1/2 cup (50 g) granulated sugar,▢ 3 tablespoons lemon juice,▢ 1 Tablespoon lemon zest,▢ Pinch of salt,▢ 4 tablespoons unsalted butter cold from the refrigerator,NA,NA,NA,NA,NA
Lemon Crinkle Cookies,Heather Perine,4, 4 ,10 minutes,10 minutes,20 minutes,16 cookies,10,"▢ ½ cup (1 stick, 113 g) unsalted Butter, softened",▢ ¾ cup (150 g) granulated Sugar,▢ 1 teaspoon Vanilla Extract,▢ ½ teaspoon Lemon Extract,▢ 2 Tablespoons Lemon Juice,▢ 2 tablespoons Lemon Zest,▢ 2 cups (240 g) all-purpose flour *spooned and leveled,▢ 1 ½ teaspoons Baking Powder,▢ 1 tablespoon Cornstarch,▢ ½ cup (57 g) Powdered Sugar,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/lemon-crinkle-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strawberry White Chocolate Chip Cookies,Heather Perine,5, 3 ,10 minutes,12 minutes,22 minutes,24 cookies,9,"▢ ½ cup (1 stick, 113 g) unsalted Butter softened to room temperature",▢ 1 cup (200 g) granulated Sugar,▢ 2 teaspoons Lemon Juice,▢ 1 teaspoon Vanilla Extract,▢ Optional a few drops of Pink Food Dye,▢ 2 cups (240 g) all-purpose Flour,▢ 2 teaspoon Baking Powder,▢ ¾ cup (125 g) Strawberries diced small,▢ ¾ cup (128 g) White Chocolate Chips divided,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/strawberry-white-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tiramisu Cookies,Heather Perine,5, 1 ,10 minutes,11 minutes,51 minutes,16 -20 large cookies,10,Cookies:,▢ 17.9 ounces (1 bag) snickerdoodle cookie mix cinnamon sugar packet removed (see note),▢ 1 Tablespoon Espresso powder see note,"▢ 1/2 cup (1 stick, 113 g) salted butter melted",▢ 1 large egg,Frosting:,▢ 8 ounces mascarpone cheese room temperature,▢ 8 ounces whipped topping or homemade whipped cream,▢ 2 Tablespoons cheesecake instant pudding mix see note,▢ 2 Tablespoons cocoa powder unsweetened or Dutch process,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/tiramisu-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cookie Monster Cookies,Heather Perine,5, 2 ,15 minutes,10 minutes,25 minutes,24 cookies,10,▢ 17.5 ounces (1 bag) of sugar cookie mix,▢ 1 large egg room temperature,"▢ ½ cup (1 stick, 113 g) unsalted butter melted",▢ Blue food coloring,▢ ¼ cup (43 g) white chocolate chips,▢ ¼ cup (43 g) semi sweet chocolate chips,▢ ½ cup Oreo cookies crushed,▢ ½ cup chocolate chip cookies crushed,▢ Extra chips and cookies optional garnish,▢ Candy eyes optional garnish,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/cookie-monster-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S’mores Chocolate Chip Cookies,Heather Perine,5, 5 ,20 minutes,12 minutes,32 minutes,44 cookies,13,▢ 3 cups (360 g) all-purpose flour *spooned and leveled,▢ 1 teaspoon baking soda,▢ 1 teaspoon salt,"▢ 1 cup (2 sticks, 226 g) unsalted butter softened to room temperature",▢ 1/2 cup (100 g) granulated sugar,▢ 1 1/4 cups (247 g) packed light (or dark) brown sugar,▢ 2 large eggs room temperature,▢ 2 teaspoons vanilla extract,▢ 2 cups (340 g) chocolate chips,▢ 5 Tablespoons (70 g) unsalted butter melted,▢ 44 graham cracker squares,Boston Girl Bakes,https://www.bostongirlbakes.com/smores-chocolate-chip-cookies/,▢ 22 large marshmallows cut in half,▢ 44 Hershey chocolate squares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butter Cookies,Heather Perine,5, 4 ,15 minutes,15 minutes,NA,36 cookies,8,▢ ¾ cup (150 g) granulated white sugar,"▢ 1 cup (2 sticks, 227 g) unsalted butter softened to room temperature",▢ 1 large egg room temperature,▢ 2 teaspoons vanilla extract,▢ 2 ¼ cups (270 g) all-purpose flour spooned and leveled,▢ ½ teaspoon salt,▢ 2-3 tablespoons milk,▢ Sprinkles optional,NA,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lady Fingers Recipe,Heather Perine,5, 6 ,20 minutes,15 minutes,35 minutes,36 cookies,7,▢ 4 large eggs separated,▢ ⅔ cup (134 g) granulated sugar,▢ ½ teaspoon vanilla extract,▢ 1 cup (120 g) all purpose flour *spooned and leveled,▢ ½ teaspoon baking powder,▢ 2 Tablespoons cornstarch,▢ Powdered sugar for dusting on top before baking,NA,NA,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/lady-fingers/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreo Cheesecake Cookies,Heather Perine,5, 4 ,30 minutes,10 minutes,55 minutes,20 cookies,16,For cheesecake filling,▢ 8 ounces full fat cream cheese softened to room temperature,▢ 1/2 cup (57 g) powdered sugar,▢ 1 teaspoon vanilla extract,For the cookies,▢ 2 3/4 cup (330 g) all purpose flour *spooned and leveled,▢ 1 teaspoon baking soda,▢ 1 teaspoon salt,"▢ 1 cup (2 sticks, 226 g) unsalted butter, room temperature",▢ 1 cup (213 g) packed light brown sugar,▢ 1/4 cup (50 g) granulated sugar,Boston Girl Bakes,https://www.bostongirlbakes.com/oreo-cheesecake-cookies/,▢ 1 large egg room temperature,▢ 1 large egg yolk room temperature,▢ 2 teaspoons vanilla extract,▢ 1 cup (170 g) semi-sweet chocolate chips,▢ 1 cup crushed Oreo cookies about 11-12 cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Molasses Cookies,Heather Perine,5, 1 ,20 minutes,10 minutes,30 minutes,24 cookies,13,▢ 2 ½ cups (300 g) all purpose flour *spooned and leveled,▢ 2 teaspoons cornstarch,▢ 2 teaspoons ground ginger,▢ 1 ½ teaspoons baking soda,▢ 1 teaspoon ground cinnamon,▢ ½ teaspoon ground cloves,▢ ½ teaspoon salt,"▢ ½ cup (1 stick, 113 g) unsalted butter, softened to room temperature",▢ ¼ cup (50 g) granulated white sugar *plus more for rolling in before baking,▢ ¾ cup (160 g) light brown sugar,▢ 1 large egg room temperature,Boston Girl Bakes,https://www.bostongirlbakes.com/molasses-cookies/,▢ ⅓ cup (113 g) unsulphured molasses – I used Grandma’s,▢ 1 teaspoon vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate M&M Cookies,Heather Perine,5, 1 ,10 minutes,12 minutes,22 minutes,24 cookies,11,▢ 2 ½ cups (300 g) all-purpose flour,▢ ½ cup (42 g) natural unsweetened cocoa powder,▢ 1 teaspoon baking soda,▢ ½ teaspoon salt,"▢ 1 cup (2 sticks, 227 g) unsalted butter softened at room temperature",▢ 1 cup (200 g) granulated sugar,▢ 1 cup (213 g) packed light brown sugar,▢ 2 large egg at room temperature,▢ 2 teaspoons vanilla extract,▢ 1 cup M&M candies,▢ 1 cup semi sweet chocolate chips,Boston Girl Bakes,https://www.bostongirlbakes.com/chocolate-mm-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Snowball Cookies,Heather Perine,5, 4 ,20 minutes,12 minutes,32 minutes,20 cookies,6,▢ 1 cup (2 sticks. 226 g) unsalted butter softened to room temperature,▢ 2 2/3 cups (300 g) powdered (or confectioners) sugar *divided,▢ 1 teaspoon vanilla extract,▢ 2 1/4 cups (270 g) all purpose flour,▢ 1 cup miniature chocolate chips,▢ 1/4 teaspoon salt,NA,NA,NA,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/chocolate-chip-snowball-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Royal Icing,Heather Perine,5, 4 ,10 minutes,0 minutes,10 minutes,3 cups,4,▢ 1 teaspoon vanilla extract,▢ 10-12 tablespoons warm water,▢ 4 cups (450 g) confectioner’s sugar sifted,▢ 3 tablespoons meringue powder,NA,NA,NA,NA,NA,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/royal-icing/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Simple Cookie Glaze,Heather Perine,5, 3 ,5 minutes,0 minutes,5 minutes,0.75 cup,5,▢ 2 cups (227 g) confectioners' sugar sifted,▢ 2 tablespoons light corn syrup,▢ 3 tablespoons milk,▢ 1 teaspoon vanilla extract,▢ Food coloring optional,NA,NA,NA,NA,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/simple-cookie-glaze/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Double Chocolate Crinkle Cookies,Heather Perine,5, 17 ,15 minutes,10 minutes,25 minutes,16 cookies,10,▢ 1 cup (200 g) granulated sugar,▢ 1/2 cup (42 g) cocoa powder *see note,"▢ ¼ cup (1/2 stick, 57 g) unsalted butter melted",▢ 2 large eggs,▢ 1 ½ teaspoons vanilla extract,▢ 2 ounces bittersweet or semi-sweet chocolate melted,▢ 1 cups (120 g) all-purpose flour spooned and leveled,▢ 1 teaspoons baking powder,▢ ¼ teaspoon salt,▢ ¼ cup (28 g) confectioners' sugar,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/double-chocolate-crinkle-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Cookies,Heather Perine,5, 10 ,45 minutes,10 minutes,55 minutes,36 cookies,12,For the cookies,"▢ 3/4 cup (170 grams, 12 Tablespoons) unsalted butter melted, and slightly cooled",▢ 3/4 cup (255 grams) molasses I used Grandma’s brand,▢ 3/4 cup (160 grams) light brown sugar packed,▢ 1 teaspoon salt,▢ 2 teaspoons ground cinnamon,▢ 2 teaspoons ground ginger,▢ 1/4 teaspoon ground cloves,▢ 1 large egg room temperature,▢ 1 teaspoon baking powder,▢ 1/2 teaspoon baking soda,Boston Girl Bakes,https://www.bostongirlbakes.com/gingerbread-cutout-hug-cookies/,▢ 3 1/2 cups (420 grams) all-purpose flour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snickerdoodle Cookie Recipe,Heather Perine,4.84, 12 ,10 minutes,10 minutes,20 minutes,24 cookies,12,Cookies,"▢ 1 cup (2 sticks, 226 g) unsalted butter, softened",▢ 1 ½ cups (300 g) granulated white sugar,▢ 2 large eggs room temperature,▢ 2 teaspoons vanilla extract,▢ 2 3/4 cups (330 g) all-purpose flour,▢ 2 teaspoons cream of tartar,▢ 1 teaspoons baking soda,▢ ¼ teaspoon table salt,Coating,▢ 4 tablespoons granulated white sugar,Boston Girl Bakes,https://www.bostongirlbakes.com/easy-snickerdoodle-cookie-recipe/,▢ 4 teaspoons ground cinnamon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andes Mint Cookies,Heather Perine,5, 17 ,10 minutes,12 minutes,22 minutes,24 cookies,12,▢ 2 ½ cups (300 g) all-purpose flour,▢ ½ cup (42 g) natural unsweetened cocoa powder,▢ 1 teaspoon baking soda,▢ ½ teaspoon salt,"▢ 1 cup (2 sticks, 227 g) unsalted butter softened at room temperature",▢ 1 cup (200 g) granulated sugar,▢ 1 cup (213 g) packed light brown sugar,▢ 2 large egg at room temperature,▢ 2 teaspoon vanilla extract,▢ ½ teaspoon peppermint extract,▢ 1 cup chopped Andes candies,Boston Girl Bakes,https://www.bostongirlbakes.com/andes-mint-cookies/,▢ 1 cup semi sweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Why Are My Cookies Flat?,Heather Perine,5, 6 ,20 minutes,20 minutes,40 minutes,18 large 5-inch cookies,12,▢ 2 cups minus 2 tablespoons (8 1/2 ounces) cake flour,▢ 1 ⅔ cups (8 1/2 ounces) bread flour,▢ 1 ¼ teaspoons baking soda,▢ 1 ½ teaspoons baking powder,▢ 1 ½ teaspoons coarse salt,▢ 2 ½ sticks (1 1/4 cups) unsalted butter,▢ 1 ¼ cups (10 ounces) light brown sugar,▢ 1 cup plus 2 tablespoons (8 ounces) granulated sugar,▢ 2 large eggs,▢ 2 teaspoons pure vanilla extract,▢ 1 ¼ pounds chopped chocolate see note,Boston Girl Bakes,https://www.bostongirlbakes.com/8-reasons-your-cookies-spread-too-much/,▢ 8 ounces semi-sweet chocolate for dipping after baking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Butterscotch Cookie Recipe,Heather Perine,5, 15 ,15 minutes,20 minutes,35 minutes,48 cookies (or 20-22 large),11,▢ 2 cups (240 g) all purpose flour *spooned and leveled,▢ 1 teaspoon baking soda,▢ 1 teaspoon salt,▢ 1 teaspoon cinnamon,"▢ 1 cup (2 sticks, 226 g) unsalted butter melted and slightly cooled",▢ 1 cup (213 g) packed light brown sugar,▢ 1/2 cup (100 g) granulated white sugar,▢ 2 large eggs room temperature,▢ 2 teaspoons vanilla extract,▢ 2 cups (200 g) old-fashioned oats,▢ 2 cups (340 g) butterscotch chips,Boston Girl Bakes,https://www.bostongirlbakes.com/oatmeal-butterscotch-cookie-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Chocolate Cranberry Oatmeal Cookies,Heather Perine,5, 14 ,15 minutes,20 minutes,35 minutes,48 cookies (or 20-22 large),11,▢ 2 cups (240 g) all purpose flour *spooned and leveled,▢ 1 teaspoon baking soda,▢ 1 teaspoon salt,"▢ 1 cup (2 sticks, 226 g) unsalted butter melted and slightly cooled",▢ 1 cup (213 g) packed light brown sugar,▢ 1/2 cup (100 g) granulated white sugar,▢ 2 large eggs room temperature,▢ 2 teaspoons vanilla extract,▢ 2 cups (200 g) old-fashioned oats,▢ 1 cup (170 g) white chocolate chips,▢ 1 cup (114 g) dried cranberries,Boston Girl Bakes,https://www.bostongirlbakes.com/white-chocolate-cranberry-oatmeal-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Chocolate Chip Cookies,Heather Perine,5, 11 ,15 minutes,20 minutes,35 minutes,48 cookies,10,▢ 2 cups (240 g) all purpose flour spooned and leveled,▢ 1 teaspoon baking soda,▢ 1 teaspoon salt,"▢ 1 cup (2 sticks, 226 g) unsalted butter melted and slightly cooled",▢ 1 cup (213 g) packed light brown sugar,▢ ½ cup (100 g) granulated white sugar,▢ 2 large eggs room temperature,▢ 1 teaspoon vanilla extract,▢ 2 cups (200g) oats old fashioned or quick,▢ 1 ½ cups (234 g) chocolate chips,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/oatmeal-chocolate-chip-cookie-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Raisin Cookies,Heather Perine,5, 21 ,15 minutes,20 minutes,35 minutes,48 cookies (or 20-22 large),11,▢ 2 cups (240 g) all purpose flour *spooned and leveled,▢ 1 teaspoon baking soda,▢ 1 teaspoon salt,▢ 1 teaspoon cinnamon,"▢ 1 cup (2 sticks, 226 g) unsalted butter melted and slightly cooled",▢ 1 cup (213 g) packed light brown sugar,▢ ½ cup (100 g) granulated white sugar,▢ 2 large eggs room temperature,▢ 2 teaspoons vanilla extract,▢ 2 cups (200 g) old-fashioned oats,▢ 1 ½ cups (234 g) raisins,Boston Girl Bakes,https://www.bostongirlbakes.com/bakery-style-oatmeal-raisin-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Rolo Cookies,Heather Perine,5, 25 ,20 minutes,10 minutes,NA,12 cookies,11,▢ 1 cup plus 2 tablespoons (135 g) all-purpose flour,▢ 1/4 cup (21 g) unsweetened cocoa powder,▢ 1/2 teaspoon baking soda,▢ 1/4 teaspoon salt,"▢ 1/2 cup (1 stick, 113 g) unsalted butter softened at room temperature",▢ 1/3 cup plus 2 tablespoons (92 g) granulated sugar,▢ 1/3 cup plus 2 tablespoons (98 g) packed light brown sugar,▢ 1 large egg at room temperature,▢ 1 1/2 teaspoons vanilla extract,▢ 12 Rolo Candies,▢ Sea Salt for sprinkling on after baking,Boston Girl Bakes,https://www.bostongirlbakes.com/sea-salt-rolo-stuffed-chocolate-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Old Fashioned Peanut Butter Cookies,Heather Perine,5, 36 ,15 minutes,10 minutes,25 minutes,24 cookies,9,▢ 1 3/4 cups (210 g) all purpose flour spooned and leveled,▢ 1/2 teaspoon baking soda,▢ 1/2 teaspoon salt,▢ 1/4 cup (50 g) granulated sugar plus additional sugar to roll cookies in,▢ 3/4 cup (160 g) packed light brown sugar,"▢ 1/2 cup (1 stick, 113) unsalted butter softened to room temperature",▢ 1 large egg room temperature,▢ 1 cup (270 g) smooth peanut butter,▢ 1 teaspoon vanilla extract,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/old-fashioned-peanut-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cream Cheese Sugar Cookies,Heather Perine,5, 14 ,20 minutes,10 minutes,30 minutes,42 cookies,10,▢ 3 cups (360 grams) all-purpose flour *spooned and leveled,▢ 1 teaspoon baking powder,▢ 1/4 teaspoon baking soda,▢ 1/2 teaspoon salt,"▢ 1 cup (226 grams, 2 sticks) unsalted butter softened to room temperatuer",▢ 1 1/4 cups (250 grams) granulated white sugar,"▢ 1/4 cup (2 ounces, 57 grams) cream cheese softened",▢ 1 large egg room temperature,▢ 1 1/2 teaspoons vanilla extract,▢ 3/4 cup sprinkles for rolling in optional,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/sprinkle-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Cream Pies,Heather Perine,5, 17 ,30 minutes,10 minutes,40 minutes,12 -14 servings,18,For the oatmeal cream pies:,▢ 2 ¼ cups (270 g) all-purpose flour *spooned and leveled,▢ 1 teaspoon baking soda,▢ 1 teaspoon salt,▢ ½ teaspoon cinnamon,"▢ 1 cup (2 sticks, 226 g) unsalted butter softened to room temperature",▢ 1 cup (213 g) light brown sugar,▢ ½ cup (100 g) granulated white sugar,▢ 2 large eggs room temperature,▢ 2 teaspoons vanilla extract,▢ 1 Tablespoon molasses *see note,Boston Girl Bakes,https://www.bostongirlbakes.com/oatmeal-cream-pies/,▢ 2 cups (198 g) quick oats *see note,For the marshmallow filling:,"▢ 1 ¼ cups (2 ½ sticks, 283 g) unsalted butter, softened to room temperature",▢ 2 ½ cups (283 g) confectioners sugar,▢ 7 ounces marshmallow fluff,▢ 2 teaspoons vanilla extract,▢ ⅛ teaspoon salt,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Cookie Cake,Heather Perine,5, 15 ,40 minutes,28 minutes,8 minutes,12 servings,18,For the cookie cake:,"▢ 2 cups (250 g) all-purpose flour, spooned and leveled",▢ ½ teaspoon baking soda,▢ ¾ teaspoon salt,"▢ ¾ cup (1 ½ sticks, 170 g) unsalted butter, softened",▢ ¾ cup (150 g) packed light brown sugar,▢ ¼ cup (50 g) granulated sugar,▢ 1 large egg room temperature,▢ 1 large egg yolk at room temperature,▢ 1 teaspoon vanilla extract,▢ 1 cup (190 g) semi-sweet chocolate chips,Boston Girl Bakes,https://www.bostongirlbakes.com/chocolate-chip-cookie-cake/,For the frosting:,"▢ 10 Tablespoons (141 grams) unsalted butter, softened",▢ 1 ¼ cups (141 grams) powdered sugar,▢ 6 Tablespoons (31 g) cocoa powder natural or Dutch process,▢ 2 Tablespoons heavy cream,▢ 1 teaspoon vanilla extract,▢ 1/8 teaspoon salt,NA,NA,NA,NA,NA,NA,NA,NA
